Sync. frequency [Hz],0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
T_int [ms],60 * 1000.000,60 * 1000.000,60 * 1000.000,1 * 777.700,4 * 161.840,4 * 117.080,5 * 88.760,5 * 73.490,5 * 60.970,5 * 52.890,8 * 45.900,8 * 40.860,8 * 36.850,8 * 33.380,8 * 31.550,8 * 28.790,8 * 26.880,8 * 25.060,8 * 23.330,8 * 22.120,8 * 20.690,8 * 19.870,8 * 19.430
Averages,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,
B,0.0,0.0,0.0,15.7,75.5,105.4,139.2,169.7,196.3,232.1,261.9,295.3,324.5,349.9,391.6,421.1,449.0,481.8,518.3,542.5,575.5,604.2,614.2
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
380,0.00000E+00,0.00000E+00,0.00000E+00,9.68489E-08,0.00000E+00,0.00000E+00,0.00000E+00,3.26027E-07,3.92976E-07,0.00000E+00,1.55877E-05,3.68671E-06,0.00000E+00,0.00000E+00,2.14857E-05,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
381,0.00000E+00,0.00000E+00,0.00000E+00,1.61608E-08,0.00000E+00,0.00000E+00,0.00000E+00,9.18842E-07,1.10752E-06,0.00000E+00,1.78255E-05,6.15185E-07,0.00000E+00,0.00000E+00,3.58523E-06,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00
382,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,5.51033E-07,6.64186E-07,1.22731E-06,4.01103E-05,0.00000E+00,0.00000E+00,0.00000E+00,2.05744E-06,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.63342E-06,0.00000E+00
383,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.77167E-08,3.65600E-08,0.00000E+00,0.00000E+00,2.50174E-06,6.20493E-05,0.00000E+00,8.80615E-08,9.72159E-07,4.19389E-06,1.12715E-07,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.32957E-06,0.00000E+00
384,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,3.96177E-07,5.22583E-07,0.00000E+00,0.00000E+00,9.49591E-07,2.45359E-05,0.00000E+00,1.25874E-06,1.38959E-05,1.59188E-06,1.61113E-06,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.26381E-06,0.00000E+00
385,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,4.39482E-07,5.79704E-07,2.34399E-07,2.82532E-07,0.00000E+00,2.62219E-06,0.00000E+00,1.39632E-06,1.54148E-05,0.00000E+00,1.78724E-06,0.00000E+00,0.00000E+00,7.38361E-07,2.95925E-05,0.00000E+00,0.00000E+00,5.31939E-06
