Optical Power Monitor 5.1.4771.793

Power Meter,PM100D
Power Meter SN,P0044180
Sensor,S120C
Sensor SN,240219523
Sensor Type,Photodiode
Wavelength,470 nm
Range,Auto,range changed during the measurement.

Start of Measurement,4/22/2024 16:44:39
Elapsed Time,00:00:09:997
Samples,2654

Power
Min.(W),Max.(W),Percentage(%),Count

-7.2957E-09,4.5134E-08,40.7,1081
4.5134E-08,9.7563E-08,9.6,254
9.7563E-08,1.4999E-07,5.2,137
1.4999E-07,2.0242E-07,3.4,89
2.0242E-07,2.5485E-07,2.8,75
2.5485E-07,3.0728E-07,2.4,65
3.0728E-07,3.5971E-07,2.4,64
3.5971E-07,4.1214E-07,4.0,106
4.1214E-07,4.6457E-07,10.9,289
4.6457E-07,5.17E-07,18.6,494

--Statistics--
Minimum [W],-7.2957E-09
Maximum [W],5.17E-07
Mean [W],2.0026E-07
Standard Deviation [W],2.0195E-07
Ratio,---

