Optical Power Monitor 5.1.4771.793

Power Meter,PM100D
Power Meter SN,P0044180
Sensor,S120C
Sensor SN,240219523
Sensor Type,Photodiode
Wavelength,450 nm
Range,Auto,range changed during the measurement.

Start of Measurement,4/23/2024 08:56:43
Elapsed Time,00:00:09:999
Samples,2700

Power
Min.(W),Max.(W),Percentage(%),Count

1.3424E-07,1.6843E-07,3.3,89
1.6843E-07,2.0262E-07,2.1,57
2.0262E-07,2.3681E-07,2.0,54
2.3681E-07,2.71E-07,1.7,46
2.71E-07,3.0519E-07,1.3,36
3.0519E-07,3.3938E-07,1.6,43
3.3938E-07,3.7357E-07,1.9,50
3.7357E-07,4.0776E-07,7.9,214
4.0776E-07,4.4195E-07,13.3,360
4.4195E-07,4.7614E-07,64.8,1750

--Statistics--
Minimum [W],1.3424E-07
Maximum [W],4.7614E-07
Mean [W],4.2024E-07
Standard Deviation [W],8.0439E-08
Ratio,3.547 : 1

