Optical Power Monitor 5.1.4771.793

Power Meter,PM100D
Power Meter SN,P0044180
Sensor,S120C
Sensor SN,240219523
Sensor Type,Photodiode
Wavelength,520 nm
Range,Auto,range changed during the measurement.

Start of Measurement,4/22/2024 16:37:47
Elapsed Time,00:00:09:999
Samples,2700

Power
Min.(W),Max.(W),Percentage(%),Count

4.3084E-08,8.8111E-08,8.7,234
8.8111E-08,1.3314E-07,4.4,119
1.3314E-07,1.7816E-07,4.0,107
1.7816E-07,2.2319E-07,3.1,84
2.2319E-07,2.6822E-07,2.4,65
2.6822E-07,3.1324E-07,2.4,66
3.1324E-07,3.5827E-07,2.4,64
3.5827E-07,4.033E-07,6.5,176
4.033E-07,4.4832E-07,12.0,323
4.4832E-07,4.9335E-07,54.1,1462

--Statistics--
Minimum [W],4.3084E-08
Maximum [W],4.9335E-07
Mean [W],3.7877E-07
Standard Deviation [W],1.4545E-07
Ratio,11.451 : 1

