Lv [cd/sqm] (CIE1931 2°),3.152E-04,2.021E-05,1.313E-05,1.296E-01,5.744E-01,8.298E-01,1.148E+00,1.255E+00,1.540E+00,1.774E+00,2.062E+00,2.265E+00,2.521E+00,2.668E+00,3.057E+00,3.377E+00,3.521E+00,3.846E+00,4.078E+00,4.316E+00,4.357E+00,4.517E+00,4.635E+00
Le [W/(sr*sqm)] (380-780nm),3.789E-06,3.231E-07,1.354E-07,1.537E-02,7.181E-02,9.970E-02,1.291E-01,1.551E-01,1.852E-01,2.129E-01,2.412E-01,2.695E-01,2.997E-01,3.296E-01,3.578E-01,3.860E-01,4.153E-01,4.450E-01,4.726E-01,4.995E-01,5.290E-01,5.548E-01,5.630E-01
CCT [K] (CIE1964 10°),0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DWl [nm] (CIE1964 10°),-557.2,-549.8,452.5,432.9,432.3,432.5,432.5,432.4,432.5,432.5,432.5,432.6,432.4,432.6,432.6,432.7,432.6,432.6,432.6,432.6,432.5,432.6,432.6
,,,,,,,,,,,,,,,,,,,,,,,
Chrom. Coord. (CIE1964 10°),,,,,,,,,,,,,,,,,,,,,,,
B,0.0,0.0,0.0,14.2,66.1,91.9,118.8,143.2,171.1,196.8,223.2,249.3,277.3,305.2,331.0,356.9,384.6,411.8,437.6,462.3,490.3,514.9,523.0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
380,7.53194E-08,0.00000E+00,0.00000E+00,8.68879E-07,0.00000E+00,2.63844E-07,1.45093E-05,2.75558E-05,1.35107E-05,4.49014E-05,0.00000E+00,3.00321E-05,3.08315E-05,6.91288E-05,6.30367E-05,5.66955E-05,3.27021E-06,7.84784E-05,2.45167E-05,3.42094E-05,9.16736E-05,0.00000E+00,0.00000E+00
381,1.25682E-08,0.00000E+00,0.00000E+00,1.44986E-07,0.00000E+00,7.43593E-07,6.92342E-06,1.22626E-05,2.17415E-05,1.93530E-05,0.00000E+00,1.99722E-05,4.72160E-05,5.92150E-05,6.78856E-05,7.60514E-05,9.21643E-06,1.62003E-05,1.72778E-05,9.64123E-05,4.07957E-05,0.00000E+00,0.00000E+00
382,0.00000E+00,3.24561E-08,0.00000E+00,1.06975E-07,0.00000E+00,4.45936E-07,1.52912E-05,1.15984E-05,3.36611E-05,2.57389E-05,0.00000E+00,2.38683E-05,4.93870E-05,3.61932E-05,5.31341E-05,6.55824E-05,2.76764E-05,1.97925E-06,5.38815E-05,7.92067E-05,3.48641E-05,1.96704E-06,0.00000E+00
383,0.00000E+00,6.61586E-08,0.00000E+00,2.23405E-07,0.00000E+00,0.00000E+00,2.67913E-05,1.49137E-05,4.46875E-05,3.79637E-05,3.47438E-07,2.98821E-05,4.75086E-05,1.46059E-05,3.38950E-05,4.85177E-05,4.72161E-05,7.93027E-07,9.45499E-05,4.48445E-05,4.33310E-05,4.00961E-06,3.58131E-06
384,0.00000E+00,2.51119E-08,0.00000E+00,1.59210E-07,0.00000E+00,0.00000E+00,3.06495E-05,2.27818E-05,3.63529E-05,2.70548E-05,4.96622E-06,2.06468E-05,3.89647E-05,4.42740E-05,1.46384E-05,3.73479E-05,4.66816E-05,1.13354E-05,6.16633E-05,3.43786E-05,9.15292E-05,1.52194E-06,5.11907E-05
385,0.00000E+00,0.00000E+00,0.00000E+00,1.41573E-07,2.70572E-07,0.00000E+00,2.52920E-05,2.33702E-05,2.80856E-05,1.84297E-05,1.33474E-05,1.56739E-05,2.61347E-05,4.78293E-05,1.01361E-05,2.15742E-05,3.82595E-05,2.68873E-05,3.38417E-05,4.43743E-05,1.04328E-04,5.21999E-06,5.99546E-05
386,0.00000E+00,0.00000E+00,0.00000E+00,1.85674E-07,8.14600E-07,0.00000E+00,9.93753E-06,1.50114E-05,2.18704E-05,1.46077E-05,2.45562E-05,1.71098E-05,1.10152E-05,1.87927E-05,2.47853E-05,3.75000E-06,2.22131E-05,4.52769E-05,1.85620E-05,7.74852E-05,7.13726E-05,1.57156E-05,1.94097E-05
387,0.00000E+00,0.00000E+00,0.00000E+00,8.96169E-08,4.27076E-07,2.75107E-06,8.87770E-06,1.15723E-05,2.10636E-05,1.21755E-05,1.78434E-05,2.33812E-05,1.18736E-05,1.39475E-05,2.08355E-05,1.04748E-05,3.44910E-05,5.14526E-05,1.76622E-05,5.87762E-05,4.13422E-05,3.30153E-05,3.28508E-05
388,0.00000E+00,0.00000E+00,0.00000E+00,3.96070E-08,1.51000E-07,5.46954E-06,1.14337E-05,1.02703E-05,2.11142E-05,1.19279E-05,1.05383E-05,2.86361E-05,1.45367E-05,1.55678E-05,1.56465E-05,2.17325E-05,4.75206E-05,5.23929E-05,2.18032E-05,3.71900E-05,2.36776E-05,4.51006E-05,5.04663E-05
389,0.00000E+00,0.00000E+00,0.00000E+00,4.17373E-07,1.59122E-06,8.83322E-06,1.76915E-05,1.10086E-05,1.65175E-05,2.22661E-05,1.39926E-05,2.89725E-05,6.43432E-06,2.00554E-05,2.25133E-05,4.31899E-05,4.25085E-05,4.01157E-05,4.15854E-05,3.79002E-05,4.15924E-05,3.57366E-05,3.77544E-05
390,0.00000E+00,0.00000E+00,0.00000E+00,8.87194E-07,3.50289E-06,1.18443E-05,1.95131E-05,1.08508E-05,1.51912E-05,2.84320E-05,1.74601E-05,2.82227E-05,8.13770E-06,2.22214E-05,2.32117E-05,5.24661E-05,4.16802E-05,3.49014E-05,5.02499E-05,3.86871E-05,4.64820E-05,4.14936E-05,3.08059E-05
391,0.00000E+00,0.00000E+00,0.00000E+00,1.52877E-06,6.22264E-06,1.48812E-05,1.65710E-05,9.63520E-06,1.73075E-05,3.07600E-05,2.14194E-05,2.60706E-05,2.11047E-05,2.20471E-05,1.70210E-05,4.93045E-05,4.53319E-05,3.67647E-05,4.75866E-05,3.95843E-05,3.73422E-05,6.50184E-05,2.92238E-05
392,0.00000E+00,0.00000E+00,0.00000E+00,1.11401E-06,7.44170E-06,1.39090E-05,1.41287E-05,1.28408E-05,2.17420E-05,2.66701E-05,2.70695E-05,2.88664E-05,2.83345E-05,2.97443E-05,3.08334E-05,5.36655E-05,5.63071E-05,5.16250E-05,5.01497E-05,5.96909E-05,5.62452E-05,7.45675E-05,4.64080E-05
393,0.00000E+00,0.00000E+00,0.00000E+00,9.49024E-07,7.99488E-06,1.25322E-05,1.31006E-05,1.73981E-05,2.57238E-05,2.32085E-05,3.24245E-05,3.31524E-05,3.45487E-05,3.87826E-05,4.89583E-05,6.12182E-05,6.84347E-05,6.80795E-05,5.72600E-05,7.99969E-05,7.94604E-05,8.08806E-05,6.46410E-05
394,0.00000E+00,0.00000E+00,0.00000E+00,4.25816E-06,7.10476E-06,1.55404E-05,1.98864E-05,2.32929E-05,2.32315E-05,3.46226E-05,3.36796E-05,3.85575E-05,4.57487E-05,4.35593E-05,6.13483E-05,7.65036E-05,7.65274E-05,7.38255E-05,8.48416E-05,7.00922E-05,8.31201E-05,9.28059E-05,5.85585E-05
395,0.00000E+00,0.00000E+00,0.00000E+00,4.06559E-06,8.81476E-06,1.73990E-05,2.41881E-05,2.83123E-05,2.60210E-05,4.38241E-05,4.03536E-05,4.42747E-05,5.52934E-05,5.52198E-05,6.66728E-05,8.54231E-05,8.07543E-05,8.18464E-05,9.42556E-05,8.40693E-05,8.53331E-05,1.04330E-04,7.85758E-05
396,0.00000E+00,0.00000E+00,0.00000E+00,8.25635E-07,1.28387E-05,1.83188E-05,2.64825E-05,3.27438E-05,3.34784E-05,5.14271E-05,5.19527E-05,5.04483E-05,6.37271E-05,7.32563E-05,6.60230E-05,8.90991E-05,8.17284E-05,9.20853E-05,8.82034E-05,1.19231E-04,8.63100E-05,1.15869E-04,1.21938E-04
397,1.12478E-08,0.00000E+00,0.00000E+00,2.25150E-06,1.84184E-05,2.71687E-05,3.54009E-05,3.72604E-05,4.44913E-05,5.33410E-05,6.36556E-05,6.27723E-05,8.12967E-05,8.99752E-05,8.53848E-05,1.10272E-04,1.04770E-04,1.16614E-04,1.21029E-04,1.42860E-04,1.19834E-04,1.43291E-04,1.50162E-04
398,2.05147E-08,0.00000E+00,0.00000E+00,4.26478E-06,2.45176E-05,3.71063E-05,4.51374E-05,4.37661E-05,5.66538E-05,5.70303E-05,7.68557E-05,7.80412E-05,1.00127E-04,1.06740E-04,1.10317E-04,1.36202E-04,1.33090E-04,1.44705E-04,1.60225E-04,1.66068E-04,1.61545E-04,1.74788E-04,1.76940E-04
399,6.92387E-09,0.00000E+00,0.00000E+00,4.34927E-06,3.33733E-05,4.61087E-05,5.39135E-05,6.33129E-05,7.43284E-05,7.88447E-05,1.02105E-04,1.06670E-04,1.19803E-04,1.29902E-04,1.48955E-04,1.74458E-04,1.71725E-04,1.82926E-04,1.97959E-04,2.07505E-04,2.21033E-04,2.18185E-04,2.21660E-04
400,0.00000E+00,0.00000E+00,0.00000E+00,6.80415E-06,4.09686E-05,5.81773E-05,6.85011E-05,8.66121E-05,9.70463E-05,1.05851E-04,1.30285E-04,1.42265E-04,1.49425E-04,1.63723E-04,1.90859E-04,2.16098E-04,2.20946E-04,2.36647E-04,2.48289E-04,2.62590E-04,2.81533E-04,2.84868E-04,2.81039E-04
401,0.00000E+00,0.00000E+00,0.00000E+00,1.15453E-05,4.70722E-05,7.29336E-05,8.84399E-05,1.12901E-04,1.24080E-04,1.37173E-04,1.60506E-04,1.83675E-04,1.88071E-04,2.07142E-04,2.34704E-04,2.59840E-04,2.79190E-04,3.04156E-04,3.09645E-04,3.29592E-04,3.41142E-04,3.72698E-04,3.53208E-04
402,0.00000E+00,0.00000E+00,0.00000E+00,1.41876E-05,6.37082E-05,9.26501E-05,1.12284E-04,1.37721E-04,1.62370E-04,1.80339E-04,2.07880E-04,2.33478E-04,2.56476E-04,2.78909E-04,3.09446E-04,3.38164E-04,3.63432E-04,3.94215E-04,4.00532E-04,4.35466E-04,4.45854E-04,4.92883E-04,4.72567E-04
403,0.00000E+00,0.00000E+00,0.00000E+00,1.68002E-05,8.15747E-05,1.12960E-04,1.38312E-04,1.65038E-04,2.01216E-04,2.27015E-04,2.58160E-04,2.86190E-04,3.27477E-04,3.53717E-04,3.88999E-04,4.20809E-04,4.50427E-04,4.87478E-04,4.98762E-04,5.45648E-04,5.57543E-04,6.14760E-04,5.97819E-04
404,0.00000E+00,0.00000E+00,0.00000E+00,2.19608E-05,1.02778E-04,1.39319E-04,1.79840E-04,2.13745E-04,2.48036E-04,2.96139E-04,3.25435E-04,3.63780E-04,4.12329E-04,4.46696E-04,4.93437E-04,5.24427E-04,5.60667E-04,6.10935E-04,6.40123E-04,6.83985E-04,7.03559E-04,7.64001E-04,7.56850E-04
405,0.00000E+00,0.00000E+00,0.00000E+00,2.67446E-05,1.28731E-04,1.72192E-04,2.25222E-04,2.67052E-04,3.10939E-04,3.72282E-04,4.04696E-04,4.56538E-04,5.10229E-04,5.53426E-04,6.12902E-04,6.52295E-04,6.97805E-04,7.63911E-04,8.01419E-04,8.50284E-04,8.91705E-04,9.48183E-04,9.43444E-04
406,0.00000E+00,0.00000E+00,0.00000E+00,3.14116E-05,1.59465E-04,2.11510E-04,2.75428E-04,3.26080E-04,3.89069E-04,4.56963E-04,4.96550E-04,5.64955E-04,6.22276E-04,6.75205E-04,7.48926E-04,8.04385E-04,8.61631E-04,9.46284E-04,9.84813E-04,1.04524E-03,1.12068E-03,1.16726E-03,1.15917E-03
407,7.43804E-09,0.00000E+00,0.00000E+00,4.04780E-05,1.99635E-04,2.71786E-04,3.49846E-04,4.23240E-04,4.95382E-04,5.71546E-04,6.40270E-04,7.16258E-04,7.90847E-04,8.63850E-04,9.44663E-04,1.02051E-03,1.09211E-03,1.18677E-03,1.25453E-03,1.31398E-03,1.42260E-03,1.46775E-03,1.46638E-03
408,1.24323E-08,0.00000E+00,0.00000E+00,5.06018E-05,2.45076E-04,3.38293E-04,4.31897E-04,5.27794E-04,6.12143E-04,7.01436E-04,7.99122E-04,8.85497E-04,9.79847E-04,1.07573E-03,1.16266E-03,1.26404E-03,1.34712E-03,1.45489E-03,1.55204E-03,1.61611E-03,1.75230E-03,1.80495E-03,1.81126E-03
409,3.79282E-09,0.00000E+00,0.00000E+00,6.26191E-05,3.07378E-04,4.19410E-04,5.32767E-04,6.42945E-04,7.57981E-04,8.78617E-04,9.92729E-04,1.10629E-03,1.22262E-03,1.34703E-03,1.44106E-03,1.58644E-03,1.66897E-03,1.80773E-03,1.91915E-03,2.01716E-03,2.16163E-03,2.25098E-03,2.26290E-03
410,0.00000E+00,0.00000E+00,0.00000E+00,7.75095E-05,3.80740E-04,5.19476E-04,6.61378E-04,7.90386E-04,9.41243E-04,1.08031E-03,1.22748E-03,1.36509E-03,1.51469E-03,1.67588E-03,1.79816E-03,1.95984E-03,2.07280E-03,2.23938E-03,2.37717E-03,2.49515E-03,2.66737E-03,2.78573E-03,2.82194E-03
411,0.00000E+00,0.00000E+00,0.00000E+00,9.41565E-05,4.60405E-04,6.31074E-04,8.07382E-04,9.58141E-04,1.14769E-03,1.29486E-03,1.48677E-03,1.64535E-03,1.83586E-03,2.03902E-03,2.20483E-03,2.36131E-03,2.52734E-03,2.71856E-03,2.89113E-03,3.01790E-03,3.23189E-03,3.37257E-03,3.44656E-03
412,0.00000E+00,0.00000E+00,0.00000E+00,1.15207E-04,5.65633E-04,7.77995E-04,9.91870E-04,1.18693E-03,1.41587E-03,1.61363E-03,1.83208E-03,2.03817E-03,2.26925E-03,2.50401E-03,2.72429E-03,2.90094E-03,3.11924E-03,3.37242E-03,3.55128E-03,3.73532E-03,3.98253E-03,4.17386E-03,4.21386E-03
413,0.00000E+00,0.00000E+00,0.00000E+00,1.38184E-04,6.82082E-04,9.36756E-04,1.19322E-03,1.43372E-03,1.70752E-03,1.95656E-03,2.20539E-03,2.46403E-03,2.73880E-03,3.00710E-03,3.28202E-03,3.49327E-03,3.76293E-03,4.06684E-03,4.27227E-03,4.51232E-03,4.79863E-03,5.03342E-03,5.05345E-03
414,0.00000E+00,0.00000E+00,0.00000E+00,1.69328E-04,8.43158E-04,1.14584E-03,1.46615E-03,1.75543E-03,2.09795E-03,2.39422E-03,2.69645E-03,3.02247E-03,3.35789E-03,3.67490E-03,4.01071E-03,4.29654E-03,4.62421E-03,4.94074E-03,5.24798E-03,5.53292E-03,5.88561E-03,6.13979E-03,6.20357E-03
415,0.00000E+00,0.00000E+00,0.00000E+00,2.10022E-04,1.03519E-03,1.40457E-03,1.79157E-03,2.14807E-03,2.55974E-03,2.92928E-03,3.30119E-03,3.69466E-03,4.10153E-03,4.49313E-03,4.88534E-03,5.25686E-03,5.64790E-03,6.03393E-03,6.41732E-03,6.75976E-03,7.19257E-03,7.50192E-03,7.58980E-03
416,0.00000E+00,0.00000E+00,0.00000E+00,2.57777E-04,1.25070E-03,1.70044E-03,2.15679E-03,2.59402E-03,3.07583E-03,3.53751E-03,3.99114E-03,4.45276E-03,4.93930E-03,5.42431E-03,5.87032E-03,6.33611E-03,6.79490E-03,7.29078E-03,7.73316E-03,8.14246E-03,8.66577E-03,9.05576E-03,9.15430E-03
417,0.00000E+00,0.00000E+00,6.18408E-09,3.12301E-04,1.52917E-03,2.08825E-03,2.66060E-03,3.17690E-03,3.78404E-03,4.33659E-03,4.90137E-03,5.46156E-03,6.07910E-03,6.68402E-03,7.22423E-03,7.77842E-03,8.35807E-03,8.95806E-03,9.49212E-03,9.99417E-03,1.06323E-02,1.11317E-02,1.12578E-02
418,0.00000E+00,0.00000E+00,9.18550E-09,3.74220E-04,1.83387E-03,2.50928E-03,3.20871E-03,3.81956E-03,4.56403E-03,5.21973E-03,5.90503E-03,6.57745E-03,7.32933E-03,8.05907E-03,8.71273E-03,9.37169E-03,1.00771E-02,1.07967E-02,1.14339E-02,1.20483E-02,1.28056E-02,1.34262E-02,1.35711E-02
419,0.00000E+00,0.00000E+00,2.51871E-09,4.55024E-04,2.19842E-03,3.00401E-03,3.85140E-03,4.59924E-03,5.50280E-03,6.29569E-03,7.12159E-03,7.93726E-03,8.82319E-03,9.68672E-03,1.04975E-02,1.13071E-02,1.21415E-02,1.30244E-02,1.37892E-02,1.45640E-02,1.54483E-02,1.62161E-02,1.63541E-02
420,0.00000E+00,3.99861E-09,0.00000E+00,5.41400E-04,2.58884E-03,3.55001E-03,4.55084E-03,5.45698E-03,6.50842E-03,7.45520E-03,8.44801E-03,9.41266E-03,1.04767E-02,1.14774E-02,1.24475E-02,1.34164E-02,1.44146E-02,1.54105E-02,1.63662E-02,1.72979E-02,1.82944E-02,1.92168E-02,1.94119E-02
421,0.00000E+00,1.02951E-08,0.00000E+00,6.29725E-04,2.98861E-03,4.11797E-03,5.27312E-03,6.34766E-03,7.53807E-03,8.64623E-03,9.81892E-03,1.09336E-02,1.21992E-02,1.33370E-02,1.44652E-02,1.55959E-02,1.67760E-02,1.78534E-02,1.90346E-02,2.01184E-02,2.12167E-02,2.22958E-02,2.25850E-02
422,0.00000E+00,4.33135E-09,0.00000E+00,7.08945E-04,3.34774E-03,4.62291E-03,5.94190E-03,7.13875E-03,8.51658E-03,9.77540E-03,1.10611E-02,1.23481E-02,1.37354E-02,1.50889E-02,1.63337E-02,1.76006E-02,1.89539E-02,2.02443E-02,2.15270E-02,2.27295E-02,2.40566E-02,2.52626E-02,2.55770E-02
423,0.00000E+00,0.00000E+00,0.00000E+00,7.79103E-04,3.65946E-03,5.06301E-03,6.52465E-03,7.83772E-03,9.37280E-03,1.07629E-02,1.21569E-02,1.35911E-02,1.51066E-02,1.66321E-02,1.79886E-02,1.93719E-02,2.08864E-02,2.23517E-02,2.37317E-02,2.50554E-02,2.65555E-02,2.78757E-02,2.82372E-02
