Lv [cd/sqm] (CIE1931 2°),1.318E-06,5.364E-04,4.363E-08,1.544E+00,6.347E+00,8.763E+00,1.140E+01,1.390E+01,1.642E+01,1.931E+01,2.182E+01,2.431E+01,2.711E+01,2.964E+01,3.224E+01,3.495E+01,3.761E+01,4.018E+01,4.294E+01,4.543E+01,4.788E+01,5.041E+01,5.100E+01
Le [W/(sr*sqm)] (380-780nm),1.733E-08,1.742E-06,4.211E-08,1.236E-02,5.328E-02,7.222E-02,9.288E-02,1.126E-01,1.325E-01,1.553E-01,1.749E-01,1.947E-01,2.168E-01,2.366E-01,2.573E-01,2.784E-01,2.993E-01,3.195E-01,3.410E-01,3.606E-01,3.802E-01,3.997E-01,4.026E-01
CCT [K] (CIE1964 10°),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DWl [nm] (CIE1964 10°),649.2,493.0,419.2,480.3,479.3,479.7,479.9,480.0,480.1,480.2,480.3,480.3,480.3,480.4,480.4,480.4,480.4,480.5,480.5,480.5,480.5,480.5,480.7
,,,,,,,,,,,,,,,,,,,,,,,
Chrom. Coord. (CIE1964 10°),,,,,,,,,,,,,,,,,,,,,,,
B,0.0,0.0,0.0,6.9,31.4,41.7,52.9,63.8,74.6,87.1,97.8,108.5,120.6,131.4,142.8,154.2,165.7,176.8,188.4,198.9,209.9,220.1,220.1
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Wavelength [nm],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)],Le [W/(sr*sqm*nm)]
380,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.02226E-07,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.28222E-05,1.66814E-05,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.15716E-06,0.00000E+00,7.02389E-06,2.07599E-05
381,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.88104E-07,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.51621E-05,1.14376E-05,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.93090E-07,0.00000E+00,1.97954E-05,3.46411E-06
382,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.09682E-07,1.72777E-07,0.00000E+00,1.93283E-07,2.17987E-07,2.48763E-07,0.00000E+00,1.36119E-05,6.19672E-06,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.62145E-06,1.18714E-05,0.00000E+00
383,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,2.23577E-07,1.38453E-08,6.48624E-08,4.51964E-07,4.44345E-07,5.07079E-07,5.50805E-08,1.81796E-07,1.38654E-06,0.00000E+00,7.79128E-08,0.00000E+00,0.00000E+00,9.34370E-08,0.00000E+00,3.35921E-06,1.11918E-06,2.79506E-07
384,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,8.48634E-08,1.97903E-07,9.27133E-07,9.78235E-07,1.68661E-07,1.92473E-07,7.87311E-07,2.59857E-06,5.26290E-07,0.00000E+00,1.11367E-06,0.00000E+00,0.00000E+00,1.33557E-06,0.00000E+00,2.02698E-06,1.59974E-05,3.99522E-06
385,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,0.00000E+00,1.16427E-07,2.19535E-07,1.02847E-06,1.22702E-06,0.00000E+00,2.64060E-07,8.73369E-07,2.88261E-06,0.00000E+00,0.00000E+00,1.23540E-06,0.00000E+00,2.35006E-07,1.48156E-06,4.49902E-06,8.56861E-07,1.77460E-05,5.91563E-06
